,params,Model,PCA,0
0,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.8,0.09397000023225555
1,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.85,0.09397000023225555
2,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.9,0.09397000023225555
3,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.95,0.09397000023225555
4,Lasso(alpha=0.03),Lasso(alpha=0.03),0.8,0.09409445585261032
5,Lasso(alpha=0.03),Lasso(alpha=0.03),0.85,0.09409445585261032
6,Lasso(alpha=0.03),Lasso(alpha=0.03),0.9,0.09409445585261032
7,Lasso(alpha=0.03),Lasso(alpha=0.03),0.95,0.09409445585261032
