,Model,Params,Scores,PCA
0,"[LinearRegression(), Lasso()]","{'fit_intercept': 'True', 'normalize': 'True'}",0.090183113307337,0.8
1,"[LinearRegression(), Lasso()]",{'alpha': 0.03},0.090183141377915,0.8
2,"[LinearRegression(), Lasso()]","{'fit_intercept': 'True', 'normalize': 'True'}",0.090183113307337,0.85
3,"[LinearRegression(), Lasso()]",{'alpha': 0.03},0.090183141377915,0.85
4,"[LinearRegression(), Lasso()]","{'fit_intercept': 'True', 'normalize': 'True'}",0.090183113307337,0.9
5,"[LinearRegression(), Lasso()]",{'alpha': 0.03},0.090183141377915,0.9
6,"[LinearRegression(), Lasso()]","{'fit_intercept': 'True', 'normalize': 'True'}",0.090183113307337,0.95
7,"[LinearRegression(), Lasso()]",{'alpha': 0.03},0.090183141377915,0.95
