,params,Model,PCA,0
0,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.8,0.08995060812365765
1,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.85,0.08995060812365765
2,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.9,0.08995060812365765
3,"LinearRegression(fit_intercept='True', normalize='True')","LinearRegression(fit_intercept='True', normalize='True')",0.95,0.08995060812365765
4,Lasso(alpha=0.03),Lasso(alpha=0.03),0.8,0.09018398336971759
5,Lasso(alpha=0.03),Lasso(alpha=0.03),0.85,0.09018398336971759
6,Lasso(alpha=0.03),Lasso(alpha=0.03),0.9,0.09018398336971759
7,Lasso(alpha=0.03),Lasso(alpha=0.03),0.95,0.09018398336971759
