,params,Model,PCA,0
0,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.02,0.09397000023225555
1,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.8,0.09397000023225555
2,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.85,0.09397000023225555
3,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.9,0.09397000023225555
4,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),0.95,0.09397000023225555
5,"{'fit_intercept': 'True', 'normalize': 'True'}",LinearRegression(),1.0,0.09397000023225555
6,{'alpha': 0.03},Lasso(),0.02,0.09409445585261032
7,{'alpha': 0.03},Lasso(),0.8,0.09409445585261032
8,{'alpha': 0.03},Lasso(),0.85,0.09409445585261032
9,{'alpha': 0.03},Lasso(),0.9,0.09409445585261032
10,{'alpha': 0.03},Lasso(),0.95,0.09409445585261032
11,{'alpha': 0.03},Lasso(),1.0,0.09409445585261032
